"'Loco csv export: Comma separated values"
"'Project: Acumen"
"'Release: Working copy"
"'Locale: en-US, English (USA)"
"'Exported by: Brendan Falkowski"
"'Exported at: Sat, 05 Nov 2016 18:56:59 +0000"
"Asset ID","English (USA), en-US"
"Select option...","Select..."
"-- Please Select --","Select..."
"Billing Information","Billing Address"
"Choose an Option...","Select..."
"Discount (%s)","Coupon (%s)"
"Payment Information","Payment Method"
"Please, enter your comments",""
"Position","Best Value"
"Products tagged with '%s'","Tagged: %s"
"Search results for: '%s'","Searched: %s"
"Ship to different address","Ship to a different address"
"Shipping Information","Shipping Address"
"State/Province","State"
"Zip/Postal Code","ZIP Code"
"Shipping & Handling","Shipping"
"Search...","Search..."
